Condition,Labeling Protocol,Labeling Target,NumFoci
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,3
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,2
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
