Experiment,Condition,Labeling Protocol,Labeling Target,RMS,Normalized RMS,D,Normalized D
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20218661,1.054294458,2.728084679,1.023617392
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21062899,1.098316931,2.758188326,1.034912722
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19862978,1.035747502,2.714396663,1.018481447
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19231048,1.002795751,2.688555843,1.008785593
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18066986,0.942096176,2.635723776,0.988962226
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1945131,1.01428123,2.697786512,1.012249075
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18237677,0.950996794,2.643899693,0.99202995
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16501488,0.860463873,2.553941782,0.958276422
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19715121,1.028037555,2.708526447,1.016278856
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17750388,0.925587293,2.620168696,0.983125732
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1617168,0.843266159,2.535201312,0.951244723
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15833436,0.825628553,2.515468282,0.943840601
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16471432,0.858896614,2.552254867,0.957643467
Full 3D FISH Protocol,Live,No Protocol,No Label,0.14397597,0.75075727,2.426473113,0.910448308
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16082655,0.838623984,2.530057208,0.94931458
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20663296,1.077479783,2.744350523,1.029720575
Full 3D FISH Protocol,Live,No Protocol,No Label,0.25739333,1.342167819,2.873493368,1.078176865
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22609217,1.1789491,2.805199552,1.052552023
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21335602,1.112536926,2.767218989,1.038301159
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22070324,1.150848728,2.789946934,1.046829017
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19416566,1.012469517,2.696346473,1.011708751
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19935761,1.039542745,2.717247246,1.019551028
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18587758,0.969251636,2.660206061,0.998148339
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19138381,0.997963665,2.684600159,1.007301362
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17659375,0.920841454,2.615603443,0.981412782
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17154147,0.894496531,2.589507249,0.971621107
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17545196,0.914887633,2.609817293,0.979241734
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16968326,0.884806965,2.579591286,0.967900492
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20299439,1.058506597,2.73110894,1.024752139
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17839716,0.930245268,2.624608842,0.98479174
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17884779,0.932595061,2.626833464,0.985626451
Full 3D FISH Protocol,Live,No Protocol,No Label,0.14263184,0.743748355,2.417758514,0.907178462
Full 3D FISH Protocol,Live,No Protocol,No Label,0.24936387,1.300298503,2.858916615,1.072707453
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20061956,1.046123135,2.72212905,1.021382752
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20917721,1.090746679,2.753245026,1.033057923
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20026247,1.044261103,2.720755447,1.020867357
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2127188,1.109214166,2.765138306,1.037520456
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2166764,1.129850922,2.777774684,1.042261811
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22750284,1.186304986,2.809003208,1.053979211
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23440103,1.222275337,2.826527039,1.060554409
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23124906,1.205839509,2.818737438,1.057631637
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21405391,1.116176047,2.76947733,1.039148522
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2667566,1.390992238,2.88835065,1.083751535
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22600372,1.178487881,2.804958494,1.052461575
Full 3D FISH Protocol,Live,No Protocol,No Label,0.24148773,1.259228668,2.842773646,1.066650375
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2174107,1.133679902,2.780045106,1.043113706
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21246849,1.107908934,2.764316093,1.03721195
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2559768,1.334781377,2.871051066,1.077260477
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22232649,1.159313104,2.794663932,1.048598904
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23670532,1.234290971,2.831998068,1.06260722
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16763179,0.874109652,2.568448666,0.963719618
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18330935,0.955859698,2.648304248,0.993682604
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1640023,0.855183813,2.54824172,0.956137675
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19137394,0.997912198,2.684557795,1.007285467
Full 3D FISH Protocol,Live,No Protocol,No Label,0.14000912,0.73007228,2.400591374,0.9007371
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20515798,1.069788555,2.739057399,1.027734517
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21880823,1.140967269,2.784303244,1.044711422
Full 3D FISH Protocol,Live,No Protocol,No Label,0.25632092,1.336575778,2.871649312,1.077484948
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2205066,1.149823356,2.789368206,1.04661187
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16806224,0.87177509,2.570803534,0.960018314
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19048046,0.988063233,2.680702665,1.001058081
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23530124,1.220558287,2.828686524,1.056319874
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22981858,1.192118547,2.815082522,1.051239715
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15671915,0.812936036,2.50586799,0.935769354
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1659898,0.861024897,2.559384298,0.955754014
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21785954,1.130084427,2.781421644,1.038669692
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1931933,1.002135319,2.692284496,1.005383098
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18925685,0.981716104,2.675358118,0.99906226
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20102708,1.042770826,2.723689154,1.017110578
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17858092,0.926337752,2.625517247,0.980450122
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20044984,1.039776557,2.72147696,1.016284476
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1768991,0.917613789,2.617139739,0.977321699
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16040504,0.832055542,2.527609148,0.943888181
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1849075,0.959155087,2.655749738,0.991739879
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17392197,0.902170774,2.601961542,0.971653687
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20478152,1.062245916,2.737690179,1.022338998
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1718211,0.891273108,2.590984753,0.967554611
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19190793,0.995467828,2.686842745,1.003350978
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21803711,1.131005521,2.781963882,1.038872181
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20091034,1.04216527,2.723243054,1.01694399
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21011335,1.089903268,2.756443463,1.02934206
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2339002,1.21329079,2.825313192,1.055060167
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20841557,1.081096517,2.750613458,1.027164954
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18229279,0.945592023,2.643500893,0.987165777
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22468281,1.1654782,2.801322168,1.046101169
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18734318,0.971789485,2.666848367,0.995884453
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2208875,1.145791108,2.790487786,1.042055273
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18236308,0.945956632,2.643834707,0.987290434
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20058818,1.040494157,2.722008587,1.016483002
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16545409,0.858246054,2.556399238,0.9546393
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17340183,0.899472695,2.599264279,0.970646444
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18505342,0.959912006,2.656423106,0.991991335
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18334918,0.951071745,2.648491382,0.989029382
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19037853,0.9875345,2.680260321,1.000892896
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23187211,1.20277065,2.820305761,1.053190236
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1493816,0.774874581,2.460900622,0.918977135
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19990872,1.036969651,2.719388639,1.015504631
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20543309,1.06562575,2.740052333,1.0232211
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2018243,1.046906178,2.726718138,1.018241695
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19921795,1.033386478,2.716702251,1.01450145
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16206476,0.840664868,2.537202145,0.947470506
Full 3D FISH Protocol,Live,No Protocol,No Label,0.11460651,0.594488688,2.225898538,0.831220018
